origin_id,destination_id,origin_value,destination_value,distance_m,reward
S006,S023,388392.48,198527.22,2704.90,28506264.076104
S006,S024,388392.48,197250.99,9141.54,8380517.142059
S006,S025,388392.48,159783.00,4986.63,12444973.408607
S006,S026,388392.48,149164.40,3824.24,15149258.240993
S006,S027,388392.48,127590.00,5931.47,8354590.726820
S006,S028,388392.48,123739.00,5678.50,8463379.715021
S006,S029,388392.48,123552.00,8506.20,5641378.682656
S006,S030,388392.48,120000.00,3681.48,12659872.209808
S006,S031,388392.48,120000.00,5858.98,7954819.650626
S006,S032,388392.48,114442.00,8462.39,5252464.226468
S006,S033,388392.48,109914.00,4069.18,10490998.384049
S006,S034,388392.48,106912.00,4882.30,8504977.347081
S006,S035,388392.48,98981.00,1471.08,26132864.839747
S006,S036,388392.48,93904.00,3072.27,11871219.985335
S006,S037,388392.48,93226.00,5346.48,6772356.455681
S006,S038,388392.48,89049.00,5382.81,6425264.100926
S006,S039,388392.48,82028.00,8238.41,3867139.032634
S006,S040,388392.48,76596.00,1522.58,19538762.613314
S006,S041,388392.48,70363.00,8095.88,3375599.246940
S006,S042,388392.48,60000.00,8139.15,2863141.299531
S006,S043,388392.48,60000.00,10034.57,2322326.878091
S006,S044,388392.48,52204.00,3427.79,5915079.086456
S006,S045,388392.48,44256.00,9876.58,1740348.431722
S006,S046,388392.48,41735.00,4663.91,3475526.660088
S006,S047,388392.48,30000.00,8174.22,1425429.493125
S006,S048,388392.48,30000.00,6839.73,1703541.907670
S006,S049,388392.48,30000.00,8705.17,1338488.311249
S006,S050,388392.48,30000.00,8938.44,1303558.121105
S006,S051,388392.48,30000.00,3265.05,3568632.689147
S006,S052,388392.48,30000.00,6611.38,1762381.401859
S006,S053,388392.48,30000.00,6307.18,1847382.135318
S006,S054,388392.48,30000.00,12947.24,899942.688387
S007,S008,325443.30,322506.00,8634.73,12155260.739223
S007,S009,325443.30,301965.00,3534.20,27806164.615178
S007,S010,325443.30,300000.00,7690.61,12695082.439120
S007,S011,325443.30,291757.76,5022.27,18905931.688383
S007,S012,325443.30,256253.00,3751.82,22228127.661788
S007,S013,325443.30,255969.52,7203.28,11564673.955612
S007,S014,325443.30,255460.18,7097.52,11713648.508897
S007,S015,325443.30,248397.61,6411.81,12607880.226554
S007,S016,325443.30,238774.51,4137.64,18780628.595061
S007,S017,325443.30,229598.00,9000.46,8301926.498975
S007,S018,325443.30,225003.45,4274.51,17130834.820104
S007,S019,325443.30,220000.00,6152.95,11636290.897087
S007,S020,325443.30,216504.00,10523.17,6695677.486767
S007,S021,325443.30,213704.16,3793.64,18332925.811098
S007,S022,325443.30,210696.11,7348.09,9331625.484219
S007,S023,325443.30,198527.22,6895.05,9370399.545403
S007,S024,325443.30,197250.99,8556.42,7502437.409990
S007,S025,325443.30,159783.00,6193.89,8395421.168344
S007,S026,325443.30,149164.40,3720.66,13047294.085852
S007,S027,325443.30,127590.00,4519.89,9186798.563648
S007,S028,325443.30,123739.00,4049.24,9945089.307001
S007,S029,325443.30,123552.00,4638.06,8669396.607920
S007,S030,325443.30,120000.00,5344.30,7307446.384852
S007,S031,325443.30,120000.00,5754.75,6786251.463177
S007,S032,325443.30,114442.00,4889.86,7616662.486812
S007,S033,325443.30,109914.00,7040.16,5080961.740247
S007,S034,325443.30,106912.00,2816.50,12353570.262922
S007,S035,325443.30,98981.00,5291.31,6087849.638359
S007,S036,325443.30,93904.00,2164.84,14116726.631374
S007,S037,325443.30,93226.00,1892.95,16027778.827795
S007,S038,325443.30,89049.00,5543.24,5228063.902333
S007,S039,325443.30,82028.00,7423.72,3595969.484798
S007,S040,325443.30,76596.00,5717.94,4359551.952808
S007,S041,325443.30,70363.00,5276.81,4339587.368124
S007,S042,325443.30,60000.00,5070.79,3850802.512573
S007,S043,325443.30,60000.00,6464.37,3020648.191286
S007,S044,325443.30,52204.00,5981.48,2840339.146191
S007,S045,325443.30,44256.00,5746.26,2506468.804063
S007,S046,325443.30,41735.00,8669.90,1566612.534518
S007,S047,325443.30,30000.00,5640.28,1730994.021989
S007,S048,325443.30,30000.00,6064.27,1609971.371045
S007,S049,325443.30,30000.00,7591.27,1286122.707185
S007,S050,325443.30,30000.00,5557.42,1756804.105927
S007,S051,325443.30,30000.00,5081.45,1921359.102297
S007,S052,325443.30,30000.00,3124.08,3125171.468640
S007,S053,325443.30,30000.00,5530.05,1765498.525664
S007,S054,325443.30,30000.00,8921.53,1094352.997555
S008,S009,322506.00,301965.00,8390.80,11606232.530321
S008,S010,322506.00,300000.00,5731.10,16881894.958094
S008,S011,322506.00,291757.76,11832.66,7952026.915595
S008,S012,322506.00,256253.00,7408.05,11155856.328609
S008,S013,322506.00,255969.52,14953.28,5520642.471121
S008,S014,322506.00,255460.18,1833.05,44945461.617532
S008,S015,322506.00,248397.61,14839.55,5398392.701728
S008,S016,322506.00,238774.51,4740.25,16245168.377438
S008,S017,322506.00,229598.00,3977.82,18614894.861148
S008,S018,322506.00,225003.45,7227.93,10039523.582969
S008,S019,322506.00,220000.00,14158.61,5011176.900678
S008,S020,322506.00,216504.00,3910.35,17856161.780592
S008,S021,322506.00,213704.16,9871.51,6981793.307793
S008,S022,322506.00,210696.11,13954.96,4869291.280568
S008,S023,322506.00,198527.22,11623.37,5508405.879433
S008,S024,322506.00,197250.99,2492.66,25520812.681132
S008,S025,322506.00,159783.00,6378.43,8078938.584458
S008,S026,322506.00,149164.40,12162.23,3955394.918096
S008,S027,322506.00,127590.00,4440.51,9266621.617058
S008,S028,322506.00,123739.00,12660.98,3151932.749960
S008,S029,322506.00,123552.00,11219.42,3551544.140503
S008,S030,322506.00,120000.00,7308.27,5295468.125552
S008,S031,322506.00,120000.00,4716.48,8205429.850405
S008,S032,322506.00,114442.00,5459.14,6760819.456790
S008,S033,322506.00,109914.00,9028.77,3926108.130831
S008,S034,322506.00,106912.00,5966.01,5779370.679508
S008,S035,322506.00,98981.00,10003.94,3190940.303602
S008,S036,322506.00,93904.00,10482.74,2888995.948233
S008,S037,322506.00,93226.00,10204.06,2946468.169757
S008,S038,322506.00,89049.00,14077.28,2040083.898218
S008,S039,322506.00,82028.00,2459.80,10754761.595787
S008,S040,322506.00,76596.00,11458.26,2155882.684503
S008,S041,322506.00,70363.00,13228.42,1715434.245759
S008,S042,322506.00,60000.00,4321.23,4477969.994922
S008,S043,322506.00,60000.00,5333.70,3627941.397091
S008,S044,322506.00,52204.00,13530.80,1244279.885382
S008,S045,322506.00,44256.00,7951.86,1794904.616611
S008,S046,322506.00,41735.00,14518.58,927073.448525
S008,S047,322506.00,30000.00,3250.81,2976235.116498
S008,S048,322506.00,30000.00,3553.06,2723055.438384
S008,S049,322506.00,30000.00,16151.44,599029.004617
S008,S050,322506.00,30000.00,12808.82,755352.701966
S008,S051,322506.00,30000.00,12964.42,746287.360056
S008,S052,322506.00,30000.00,10961.48,882652.625466
S008,S053,322506.00,30000.00,14164.78,683044.730471
S008,S054,322506.00,30000.00,8512.03,1136647.903937
S009,S010,301965.00,300000.00,5133.36,17647210.025171
S009,S011,301965.00,291757.76,3456.36,25489406.615356
S009,S012,301965.00,256253.00,1010.43,76580929.998277
S009,S013,301965.00,255969.52,6680.48,11570094.879502
S009,S014,301965.00,255460.18,7445.79,10360220.262083
S009,S015,301965.00,248397.61,8924.16,8404975.783884
S009,S016,301965.00,238774.51,5374.53,13415403.736060
S009,S017,301965.00,229598.00,7148.64,9698421.509119
S009,S018,301965.00,225003.45,7107.21,9559748.299285
S009,S019,301965.00,220000.00,6062.46,10957980.858308
S009,S020,301965.00,216504.00,8886.19,7357105.028352
S009,S021,301965.00,213704.16,7308.31,8829832.896548
S009,S022,301965.00,210696.11,5589.06,11383470.532614
S009,S023,301965.00,198527.22,3856.69,15543953.377219
S009,S024,301965.00,197250.99,7294.87,8165043.221703
S009,S025,301965.00,159783.00,3424.50,14089310.115376
S009,S026,301965.00,149164.40,4841.79,9302850.592974
S009,S027,301965.00,127590.00,4047.17,9519663.163548
S009,S028,301965.00,123739.00,6338.30,5895093.108964
S009,S029,301965.00,123552.00,8161.18,4571442.493553
S009,S030,301965.00,120000.00,2209.49,16400066.938131
S009,S031,301965.00,120000.00,4009.62,9037204.979026
S009,S032,301965.00,114442.00,6934.84,4983167.771847
S009,S033,301965.00,109914.00,3529.62,9403319.708669
S009,S034,301965.00,106912.00,3179.54,10153559.793769
S009,S035,301965.00,98981.00,2059.52,14512515.422464
S009,S036,301965.00,93904.00,3487.60,8130429.452934
S009,S037,301965.00,93226.00,5175.57,5439203.606657
S009,S038,301965.00,89049.00,6668.08,4032595.899383
S009,S039,301965.00,82028.00,6358.07,3895772.668447
S009,S040,301965.00,76596.00,3186.43,7258690.171140
S009,S041,301965.00,70363.00,8374.49,2537128.527065
S009,S042,301965.00,60000.00,6450.71,2808668.363035
S009,S043,301965.00,60000.00,8459.87,2141628.788216
S009,S044,301965.00,52204.00,5244.90,3005543.873617
S009,S045,301965.00,44256.00,8690.16,1537804.543450
S009,S046,301965.00,41735.00,6374.94,1976881.792890
S009,S047,301965.00,30000.00,6366.81,1422840.723269
S009,S048,301965.00,30000.00,4946.83,1831264.408427
S009,S049,301965.00,30000.00,9713.00,932662.814956
S009,S050,301965.00,30000.00,8935.45,1013821.653003
S009,S051,301965.00,30000.00,4886.61,1853829.507508
S009,S052,301965.00,30000.00,6490.91,1395636.490084
S009,S053,301965.00,30000.00,7333.48,1235287.096518
S009,S054,301965.00,30000.00,11593.29,781396.086479
S010,S011,300000.00,291757.76,8188.62,10688892.896985
S010,S012,300000.00,256253.00,4282.84,17949738.034748
S010,S013,300000.00,255969.52,11477.22,6690721.934325
S010,S014,300000.00,255460.18,6027.66,12714400.030606
S010,S015,300000.00,248397.61,13860.49,5376382.139132
S010,S016,300000.00,238774.51,6305.18,11360878.279651
S010,S017,300000.00,229598.00,2489.99,27662505.603887
S010,S018,300000.00,225003.45,9257.18,7291752.214584
S010,S019,300000.00,220000.00,11049.40,5973176.864190
S010,S020,300000.00,216504.00,4205.13,15445712.357224
S010,S021,300000.00,213704.16,10813.31,5928920.909215
S010,S022,300000.00,210696.11,9755.40,6479368.966395
S010,S023,300000.00,198527.22,6847.87,8697323.517270
S010,S024,300000.00,197250.99,3472.06,17043288.808587
S010,S025,300000.00,159783.00,1713.58,27973569.990846
S010,S026,300000.00,149164.40,9960.68,4492595.304451
S010,S027,300000.00,127590.00,4085.02,9370085.686649
S010,S028,300000.00,123739.00,11298.90,3285426.893285
S010,S029,300000.00,123552.00,11995.74,3089895.931348
S010,S030,300000.00,120000.00,3003.87,11984536.086988
S010,S031,300000.00,120000.00,2248.48,16010784.418132
S010,S032,300000.00,114442.00,8068.07,4255366.893635
