line_id,station_sequence,length,covered_population,direct_od_coverage,construction_cost
L0194,"['S015', 'S041', 'S052', 'S037', 'S007', 'S034', 'S027', 'S048', 'S039', 'S020']",18403.412703840942,663131.0,0.03871196189078174,18.40341270384094
L0195,"['S016', 'S047', 'S014', 'S039', 'S017']",8092.857901670684,401322.0,0.022340127729013604,8.092857901670683
L0196,"['S016', 'S034', 'S007', 'S036', 'S026', 'S051', 'S019']",11945.910629565544,140816.0,0.001241090300048085,11.945910629565542
L0197,"['S016', 'S047', 'S014', 'S039', 'S020']",9116.76935516984,388228.0,0.014903097633666441,9.116769355169838
L0198,"['S017', 'S039', 'S014', 'S042', 'S032', 'S018']",10586.973078217276,485764.0,0.028310782143587225,10.586973078217273
L0199,"['S017', 'S001', 'S031', 'S005', 'S012', 'S009', 'S006', 'S011', 'S044', 'S019']",13968.112588731075,938771.0,0.20919728441979044,13.968112588731074
L0200,"['S018', 'S021', 'S037', 'S036', 'S026', 'S051', 'S019']",12821.977961308565,202079.0,0.006633794695414607,12.821977961308566
L0201,"['S018', 'S032', 'S042', 'S014', 'S039', 'S020']",11610.884531716429,472670.0,0.020468188860167668,11.610884531716428
L0202,"['S019', 'S044', 'S011', 'S006', 'S009', 'S012', 'S005', 'S031', 'S001', 'S020']",15713.634937025146,925677.0,0.16870560569752682,15.713634937025144
L0203,"['S004', 'S023', 'S040', 'S011', 'S051', 'S044', 'S013', 'S019']",11165.329623116339,98800.0,0.0010773806825105305,11.165329623116339
L0204,"['S033', 'S004', 'S035', 'S040', 'S011', 'S051', 'S044', 'S019']",10019.439846268737,277695.0,0.01252208573449136,10.019439846268735
L0205,"['S005', 'S030', 'S025', 'S010', 'S017', 'S039', 'S020', 'S024', 'S001', 'S031']",18566.835250127897,805973.0,0.17728669535244565,18.566835250127898
L0206,"['S002', 'S054', 'S043', 'S003', 'S032', 'S045', 'S018']",14041.073502950345,293694.0,0.01572091406613252,14.041073502950345
L0207,"['S005', 'S031', 'S027', 'S034', 'S016', 'S042', 'S047', 'S032', 'S018', 'S043', 'S002', 'S003']",21555.6966220893,423940.0,0.026512267008928236,21.5556966220893
L0208,"['S018', 'S043', 'S003', 'S032', 'S042', 'S016']",9713.644109181178,164953.0,0.0031300060478520403,9.713644109181176
L0209,"['S032', 'S018', 'S043', 'S002']",6689.982120487828,168927.0,0.0029962722387204634,6.689982120487828
L0210,"['S053', 'S028', 'S049', 'S038']",8634.19144665751,152788.0,0.0038269026690112996,8.634191446657512
L0211,"['S041', 'S052', 'S037', 'S021']",6410.986400003705,208538.0,0.005775671925505045,6.410986400003706
L0212,"['S001', 'S031', 'S025', 'S030', 'S033', 'S035', 'S023', 'S040', 'S046', 'S011']",19834.403441068305,545069.0,0.03985661875338383,19.834403441068304
L0213,"['S042', 'S014', 'S008', 'S039', 'S020', 'S001']",13298.929865646178,828794.0,0.11458177444013928,13.298929865646178
L0214,"['S014', 'S047', 'S042', 'S016', 'S032', 'S003', 'S054', 'S045', 'S018', 'S043', 'S002']",22130.046924587354,383390.0,0.023138478926383526,22.130046924587354
L0215,"['S008', 'S024', 'S039', 'S048']",5083.94528900781,344534.0,0.01352714071765573,5.0839452890078105
L0216,"['S004', 'S033', 'S025', 'S010', 'S001', 'S048', 'S031', 'S027', 'S005']",14084.410595371988,485347.0,0.03387325940896936,14.084410595371988
L0217,"['S024', 'S039', 'S048', 'S031', 'S005', 'S025', 'S010']",9070.02080824621,181811.0,0.00252470391024023,9.070020808246209
L0218,"['S010', 'S001', 'S031', 'S027', 'S005', 'S012', 'S030', 'S033', 'S004', 'S035', 'S006', 'S009']",18296.694415562655,933454.0,0.2174385258515509,18.296694415562655
L0219,"['S023', 'S035', 'S009', 'S006', 'S011']",7339.734730815373,351637.0,0.03244340215377248,7.339734730815373
L0220,"['S045', 'S002', 'S043', 'S018']",6992.701942343359,128741.0,0.003016069558119683,6.992701942343359
L0221,"['S011', 'S046', 'S022', 'S013']",7864.6284145535365,41735.0,0.0,7.864628414553538
L0222,"['S012', 'S005', 'S030', 'S025', 'S010', 'S031', 'S027', 'S048', 'S039', 'S024', 'S020', 'S017']",18161.047384088968,921756.0,0.1374622614797902,18.16104738408897
L0223,"['S002', 'S045', 'S032', 'S043', 'S003', 'S054']",11750.015208112209,293694.0,0.01572091406613252,11.75001520811221
L0224,"['S017', 'S010', 'S025', 'S033', 'S035', 'S004', 'S030']",12732.87042420021,508276.0,0.02503610412680289,12.732870424200211
L0225,"['S002', 'S045', 'S018', 'S043', 'S003', 'S032', 'S047', 'S042', 'S016']",15700.383186470852,293694.0,0.01572091406613252,15.70038318647085
L0226,"['S019', 'S013', 'S051', 'S026', 'S036']",6874.020439187598,63904.0,0.0,6.874020439187598
L0227,"['S016', 'S034', 'S007', 'S036']",7177.28979899226,140816.0,0.001241090300048085,7.177289798992259
L0228,"['S007', 'S034', 'S016', 'S032', 'S042', 'S047', 'S008', 'S039']",14957.47131290084,505888.0,0.025974837571170216,14.95747131290084
L0229,"['S032', 'S003', 'S042', 'S014']",8625.148597724208,254649.0,0.008582783972961229,8.625148597724206
L0230,"['S017', 'S039', 'S024', 'S001', 'S048', 'S027', 'S034', 'S016', 'S047', 'S008']",17672.65245502969,926694.0,0.16478664814145713,17.67265245502969
L0231,"['S039', 'S008', 'S014', 'S047', 'S032', 'S042', 'S016', 'S034', 'S007']",15549.41527607636,595584.0,0.05697103840258479,15.549415276076362
L0232,"['S023', 'S040', 'S035', 'S006', 'S009', 'S012']",7398.337475728211,594486.0,0.16079608324714817,7.39833747572821
L0233,"['S026', 'S036', 'S037', 'S052', 'S029', 'S050', 'S041', 'S028', 'S053', 'S015']",16970.105894376775,471292.0,0.037866583336326795,16.970105894376776
L0234,"['S030', 'S012', 'S009', 'S006', 'S040']",6032.320295670834,525505.0,0.13102999030824192,6.032320295670834
L0235,"['S011', 'S044', 'S013', 'S019', 'S051', 'S026', 'S036']",9277.18571375187,116108.0,0.0010618980098770926,9.27718571375187
L0236,"['S051', 'S013', 'S022', 'S044', 'S019']",7897.623767981946,52204.0,0.0,7.897623767981946
L0237,"['S005', 'S031', 'S010', 'S001', 'S048']",7266.730719273051,178060.0,0.0,7.266730719273053
L0238,"['S022', 'S044', 'S051', 'S019', 'S013']",5488.787621793257,52204.0,0.0,5.488787621793258
L0239,"['S048', 'S001', 'S031', 'S025', 'S033', 'S030', 'S012', 'S009', 'S006', 'S035', 'S023', 'S004']",20712.01474901473,935647.0,0.2318995341417854,20.712014749014727
L0240,"['S016', 'S034', 'S027', 'S031', 'S005']",7405.719510247146,174502.0,0.008183631601626263,7.405719510247145
L0241,"['S006', 'S040', 'S023', 'S035', 'S009', 'S012', 'S030', 'S025', 'S033', 'S004']",14730.000686455947,804183.0,0.21545692798283905,14.730000686455949
L0242,"['S023', 'S040', 'S011', 'S006', 'S035', 'S004', 'S030', 'S033', 'S025', 'S005', 'S012', 'S009']",18214.449819844813,804183.0,0.21545692798283905,18.214449819844816
L0243,"['S023', 'S035', 'S006', 'S009']",5178.284257406594,351637.0,0.03244340215377248,5.178284257406595
L0244,"['S001', 'S031', 'S048', 'S039', 'S017', 'S010', 'S025']",10832.947269530092,589469.0,0.0990976250344299,10.832947269530091
L0245,"['S042', 'S032', 'S018', 'S043', 'S002', 'S054']",9503.939941986886,168927.0,0.0029962722387204634,9.503939941986886
L0246,"['S003', 'S032', 'S018', 'S045', 'S054']",9638.012880754231,209209.0,0.006197073923011505,9.63801288075423
L0247,"['S042', 'S014', 'S039', 'S024']",6517.644171202643,171724.0,0.0036618943830052,6.517644171202642
L0248,"['S007', 'S036', 'S037', 'S052', 'S029', 'S050']",9556.008848841533,280682.0,0.010301468327268335,9.556008848841532
L0249,"['S031', 'S001', 'S010', 'S017', 'S024', 'S039', 'S048', 'S027']",11380.422515295084,587276.0,0.09469712274303536,11.380422515295086
L0250,"['S025', 'S033', 'S004', 'S023', 'S046', 'S040', 'S035', 'S009', 'S006', 'S011', 'S051', 'S019']",23041.341589378677,649665.0,0.08484015590338546,23.04134158937868
L0251,"['S031', 'S048', 'S039', 'S014', 'S042', 'S016']",9092.117421700912,171724.0,0.0036618943830052,9.092117421700912
L0252,"['S034', 'S016', 'S047', 'S032', 'S043', 'S002']",9879.462178124424,245839.0,0.005966892264788668,9.879462178124424
L0253,"['S051', 'S026', 'S036', 'S007', 'S037', 'S052', 'S029', 'S021']",12293.322514947546,325631.0,0.021664181620905762,12.293322514947544
